"#","Registration No / Notification No","Product Name","Holder"
"203","MAL06091579T","Long Dan Xie Gan Tang  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"204","MAL06091580T","Si Jun Zi Tang  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"205","MAL06091581T","Zhi Gan Cao Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"206","MAL06111383T","Ma Zi Ren Wan  Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"207","MAL06111387T","Fang Feng Tong Sheng San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"208","MAL06111388T","Chuan Xiong Cha Tiao San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"209","MAL06121085T","Ba Wei Di Huang Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"210","MAL06121093T","Zhi Bo Di Huang Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"211","MAL06111403T","Xue Fu Zhu Yu Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"212","MAL06121095T","Wan Dai Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"213","MAL06111404T","Qing Fei Tang Extract Granules "" Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"214","MAL06121096T","Zuo Gui  Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"215","MAL06121098T","Bu Zhong Yi Qi Tang Extract Granules  ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"216","MAL07031128T","Bai Hu Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"217","MAL07031129T","Gan Mai Da Zao Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"218","MAL07050034T","Sha Shen Mai Dong Tang Concoction Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"219","MAL07050036T","Zhen Ren Huo Ming Yin Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"220","MAL07031181T","Er Zhu Tang  Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"221","MAL07050955T","Tian Ma Gou Teng Yin  Concoction Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"222","MAL07031182T","Wen Dan Tang  Extract Granules "" Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"223","MAL07031183T","Huan Shao Dan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"224","MAL07031184T","Gui Zhi Tang  Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"225","MAL07031185T","Qing Zao Jiu Fei San  Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"226","MAL07031187T","Bao He Wan Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"227","MAL07031188T","Xiao Feng San Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"228","MAL07031189T","Tao Hong Si Wu Tang Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"229","MAL07031190T","Suan Zao Ren Tang Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"230","MAL07031191T","Xin Su San (Paediatrics) Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"231","MAL07031192T","Xiang Sheng Po Di Wan Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"232","MAL07050049T","Wen Jing Tang Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"233","MAL07031193T","Dang Gui Yin Zi Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"234","MAL07050050T","Xin Yi San Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"235","MAL07031194T","Ji Sheng Shen Qi Wan Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"236","MAL07050051T","Sheng Mai San Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"237","MAL07031204T","Da Cheng Qi Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"238","MAL07031205T","San Bi Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"239","MAL07050956T","Shao Fu Zhu Yu Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"240","MAL07031206T","Si Ni San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"241","MAL07031207T","Ban Xia Bai Zhu Tian Ma Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"242","MAL07031208T","You Gui Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"243","MAL07061418T","Xiao Jian Zhong Tang  Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"244","MAL07050070T","Ba Zheng San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"245","MAL07050080T","Ding Chuan Tang  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"246","MAL07050962T","Gui Zhi Shao Yao Zhi Mu Tang  Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"247","MAL07050963T","Liang Ge San  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"248","MAL07050964T","Mai Men Dong Tang ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"249","MAL07050965T","Qing Yan Li Ge Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"250","MAL07061429T","Dun Sou San (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"251","MAL07061430T","Gou Teng San ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"252","MAL07050967T","Pu JI Xiao Du Yin  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"253","MAL07050083T","Bai He Gu Jin Tang  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"254","MAL07050968T","Wen Fu Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"255","MAL07050084T","Yang Yin Qing Fei Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"256","MAL07050085T","Dao Chi San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"257","MAL07050104T","Shen Tong Zhu Yu Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"258","MAL07050973T","Su Zi Jiang Qi Tang ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"259","MAL07050974T","Zhu Ye Shi Gao Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"260","MAL07050975T","Xiong Gui Jiao Ai Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"261","MAL07050976T","Qiang Huo Sheng Shi Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"262","MAL07081540T","Qing Xin Lian Zi Yin Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"263","MAL07061440T","Zi Yin Jiang Huo Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"264","MAL07061441T","Ning Sou Wan Extract Granules "" Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"265","MAL07081545T","Kanpo Wei Chang Yao Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"266","MAL07081546T","Run Chang Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"267","MAL07061442T","Shang Zhong Xia Tong Yong Tong Feng Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"268","MAL08120895T","Gui Lu Er Xian Jiao Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"269","MAL09011501T","Yi Guan Jian Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"270","MAL09062155T","Deng Hua Bai Du San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"271","MAL08120899T","Fu Tu Dan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"272","MAL08120906T","Shi Quan Da Bu Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"273","MAL09021134T","Tao He Cheng Qi Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"274","MAL09082809T","Wu Lin San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"275","MAL09011519T","Zi Wan Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"276","MAL09011520T","Zhu Ling Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"277","MAL09011521T","Xie Bai San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"278","MAL09062180T","Yang Xin Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"279","MAL09062216T","Jin Suo Gu Jing Wan Extract Granules Sun Ten","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"280","MAL09051614T","Li Zhong Tang Extract Granules Sun Ten","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"281","MAL09082846T","Huang Qi Jian Zhong Tang Extract Granules Sun Ten","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"282","MAL09082847T","Zuo Gui Wan Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"283","MAL09062229T","Bu Yin Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"284","MAL10053691T","Yi Qi Cong Ming Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"285","MAL09100292T","Yu Nu Jian Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"286","MAL09082877TC","BA XIAN TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"287","MAL09072852TC","WEN QING YIN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"288","MAL09072853TC","BI XIE FEN QING YIN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"289","MAL09072854TC","DING ZHI WAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"290","MAL09072855TC","ER XIAN TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"291","MAL09082881TC","WU PI YIN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"292","MAL09082882TC","BAN XIA BAI SHU TIAN MA TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"293","MAL09082883TC","ZHU LING TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"294","MAL09100294TC","YUE JU WAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"295","MAL09100296TC","DAO SHUI FU LING TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"296","MAL09100297TC","WU LING SAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"297","MAL09103017TC","JIN LING ZI SAN ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"298","MAL09100298TC","SHENG MA GE GEN TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"299","MAL09103019TC","HUANG LIAN JIE DU TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"300","MAL09103021TC","SHAO YAO GAN CAO TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"301","MAL09103022TC","SI NI SAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"302","MAL09103023TC","LING GUI SHU GAN TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"303","MAL09103028TC","XIAO CHAI HU TANG PLUS ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"304","MAL10021819TC","LIU WEI DI HUANG WAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"305","MAL10021820TC","TAO HONG SI WU TANG ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"306","MAL10021821TC","JIANG HUO SHENG SHI TANG ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"307","MAL10021822TC","GUI ZHI FU LING WAN ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"308","MAL10033157TC","HUAI HUA SAN ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"309","MAL10021823TC","BAN XIA XIE XIN TANG ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"310","MAL10021824TC","CHAI HU SHU GAN SAN ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"311","MAL10021825TC","ZHI BO DI HUANG WAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"312","MAL10021826TC","BU ZHONG YI QI TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"313","MAL10120076TC","TIAN WANG DAN ORAL GRANULES PLUS","Eastern Healthcare (M) Sdn. Bhd."
"314","MAL09122807TC","JIA WEI XIAO YAO SAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"315","MAL09122808TC","JUAN BI TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"316","MAL09100300TC","XUE FU ZHU YU TANG PLUS ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"317","MAL10021827TC","CANG ER SAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"318","MAL10070684TC","ZI SHEN TONG ER TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"319","MAL09122809TC","GUI ZHI TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"320","MAL09122810TC","CHAI HU GUI ZHI TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"321","MAL10021828TC","WEN DAN TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"322","MAL09122811TC","CHAI GE JIE JI TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"323","MAL09122812TC","WEN JING SAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"324","MAL10021830TC","TIAN MA GOU TENG SAN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"325","MAL09122814TC","QING FEI TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"326","MAL09082888TC","GAN LU YIN ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"327","MAL10012506TC","ZHI GAN CAO TANG ORAL GRANULES","Eastern Healthcare (M) Sdn. Bhd."
"328","MAL10100200T","Zi Cao Gen Mu Li Tang Extract Granules ""Sheng Chang""","LIFECARE ESSENTIAL SDN. BHD."
"329","MAL10100201T","Ren Shen Fei Er Wan Extract Granules ""Sheng Chang""","LIFECARE ESSENTIAL SDN. BHD."
"330","MAL15060015TC","Eastern Healthcare Pueraria Plus Oral Granules","Eastern Healthcare (M) Sdn. Bhd."
"331","MAL16010023T","Taur Horng Syh Wuh Tang Extract Granules �Sheng Foong�","TIANYI SEM MARKETING"
"332","MAL16030009T","Nature""s Green Constipation Relief Granules","Tong Jum Chew (m) Sdn. Bhd."
"333","MAL16030026T","Nature's Green Zhi Yang Granules","Tong Jum Chew (m) Sdn. Bhd."
"334","MAL16010060T","YUEH JYU WAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"335","MAL06081261X","Nova Novavon Oral Granules","NOVA LABORATORIES SDN. BHD."
"336","MAL08051624XC","Argylax Oral Granules","NOVA LABORATORIES SDN. BHD."
"337","MAL11080014X","ALLBIO Granules","STADPHARM SDN. BHD."
"338","MAL19950176AZ","KLACID GRANULES FOR ORAL SUSPENSION","ABBOTT LABORATORIES (M) SDN. BHD."
"339","MAL20033481AZ","MONUROL 3G GRANULES","EP PLUS GROUP SDN. BHD."
"340","MAL20013757AZ","KLACID GRANULES 250MG/5ML PEDIATRIC SUSPENSION","ABBOTT LABORATORIES (M) SDN. BHD."
"341","MAL19860072AZ","BEAPEN VK GRANULES 125MG/5ML","DUOPHARMA (M) SENDIRIAN BERHAD"
"342","MAL19860043AZ","OXACIL GRANULES 125 MG/ 5 ML","DUOPHARMA (M) SENDIRIAN BERHAD"
"343","MAL19860679AZ","Eryson Granules 200mg/5ml","DUOPHARMA MANUFACTURING (BANGI) SDN. BHD."
"344","MAL19860681AZ","Eryson Granules 400mg/5ml","DUOPHARMA MANUFACTURING (BANGI) SDN. BHD."
"345","MAL19880348ACZ","EOMYCIN GRANULES 200MG/5ML","TERAPUTICS SDN BHD"
"346","MAL19900375AZ","CEPHALEXIN GRANULES FOR ORAL SUSPENSION ‘MPI’ 125mg/5ml","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"347","MAL19890247AZ","BETAMOX GRANULES 250MG/5ML","DUOPHARMA (M) SENDIRIAN BERHAD"
"348","MAL19890609AZ","OSPAMOX 250MG/5ML GRANULES FOR ORAL SUSPENSION","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"349","MAL19921003AZ","AMOXIGRAN GRANULES","HOVID BERHAD"
"350","MAL19921490AZ","EROGRAN GRANULES","HOVID BERHAD"
"351","MAL19984399AZ","CEPHALEXIN GRANULES FOR ORAL SUSPENSION ‘MPI’ 250mg/5ml","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"352","MAL19992591AZ","ANPRODROXIL GRANULES FOR ORAL SUSPENSION 125mg/5ml","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"353","MAL20033971ACZ","CLAMOVID BID GRANULES","HOVID BERHAD"
"354","MAL20033972ACZ","CLAMOVID BID FORTE GRANULES","HOVID BERHAD"
"355","MAL06061675AZ","Pentasa Sachet Prolonged Release Granules 1g","Ferring Sdn. Bhd."
"356","MAL11040012AZ","Pentasa Sachet Prolonged Release Granules 2g","Ferring Sdn. Bhd."
"357","MAL20152495AEZ","Luter Granules","HOVID BERHAD"
"358","MAL19913278XZ","ELECTRAL FORTE GRANULES","UNIMED SDN. BHD."
"359","MAL19991334X","QUEMOX GRANULES 500MG","Y.S.P. INDUSTRIES (M) SDN. BHD."
"360","MAL20014507X","FLUIMUCIL A-200 GRANULES","EP PLUS GROUP SDN. BHD."
"361","MAL20014506X","FLUIMUCIL A-100 GRANULES","EP PLUS GROUP SDN. BHD."
"362","MAL05072037XCR","Ural Effervescent Granules","ABBOTT LABORATORIES (M) SDN. BHD."
"363","MAL07061573XZ","NORIT CARBOMIX GRANULES (Activated Charcoal 5g in 6.15g)","RX PHARMA SDN. BHD."
"364","MAL11060031XC","Avosoda Effervescent Granules","Abio Marketing Sdn Bhd"
"365","MAL10100041X","U-Lite Effervescent Granules","WINWA MEDICAL SDN. BHD."
"366","MAL13070018HX","HINAFEN 5% W/W GRANULES","Gladron Chemicals Sdn Bhd"
"367","MAL15040015HAC","RODOTIUM 100G/KG GRANULES PREMIX","Agro-farmchem Sdn Bhd"
"368","MAL13120058HA","Maxiban 72 Premix Granules","ELANCO MALAYSIA SDN BHD"
"369","MAL15110082HA","Lifecome Bacitracin Zinc Premix 15% w/w Granules","Prima Inter-chem Sdn. Bhd."
"370","MAL15110092HA","EM-MOXIMIX 20% GRANULES","RANGE PHARMA SDN. BHD."
"371","MAL16010018HA","Yanqol Salinomycin 12% granules premix","Prima Inter-chem Sdn. Bhd."
"372","MAL14010008HA","EM-TAIKOMIX 10% GRANULES","RANGE PHARMA SDN. BHD."
"373","MAL14010009HA","ES-MOXI 50% Granules","RANGE PHARMA SDN. BHD."
"374","MAL13070019HA","HINACOX SALIN 12% W/W GRANULES","Gladron Chemicals Sdn Bhd"
"375","MAL14030026HA","EM-MICOFEED 10% Granules","RANGE PHARMA SDN. BHD."
"376","MAL14030027HA","SALINOMYCIN (QILU) 12% Granules","RANGE PHARMA SDN. BHD."
"377","MAL14050054HAC","Denagard 45% Water Soluble Granules","ELANCO MALAYSIA SDN BHD"
"378","MAL13110053HA","SANOMYCIN 12% Granules","RANGE PHARMA SDN. BHD."
"379","MAL14080158HA","EM-PANCOMIX 16.5% Granules","RANGE PHARMA SDN. BHD."
"380","MAL14090127HA","ES-TYSOL 50% GRANULES","RANGE PHARMA SDN. BHD."
"381","MAL16080002T","Esungcho Sangkwea Granules","Natural Seeds Sdn Bhd"
"382","MAL16070003T","BAO HER WAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"383","MAL16080043T","REN SHEN BOY DWU SAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"384","MAL16110020T","KPC HERBS ER ZHU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"385","MAL16110021T","KPC HERBS SHENG MAI YIN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"386","MAL16110022T","KPC HERBS XIN XIONG GUI JIAO AI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"387","MAL16110023T","KPC HERBS SHAO YAO GAN CAO TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"388","MAL16090024T","KPC HERBS SHEN LING BAI ZHU SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"389","MAL16110027T","KPC HERBS DA CHAI HU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"390","MAL16080058T","KPC HERBS ER CHEN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"391","MAL16090025T","KPC HERBS BA ZHEN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"392","MAL16100039T","KPC HERBS SI JUN ZI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"393","MAL16110028T","KPC HERBS SI NI SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"394","MAL16110070T","KPC HERBS GAN LU YIN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"395","MAL16110029T","KPC HERBS ZHU YE SHI GAO TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"396","MAL16110071T","KPC HERBS QIANG HUO SHENG SHI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"397","MAL16110031T","KPC HERBS GUI ZHI FU LING WAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"398","MAL16100044T","LII JONG TANG EXTRACT GRANULES ""SHENG FOONG""","TIANYI SEM MARKETING"
"399","MAL16090043T","YI KUAN JIEN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"400","MAL16110080T","KPC HERBS SHEN TONG ZHU YU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"401","MAL16110081T","KPC HERBS WEN DAN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"402","MAL16110082T","KPC HERBS XIN WEN JING TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"403","MAL16110083T","KPC HERBS BU ZHONG YI QI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"404","MAL16110084T","KPC HERBS CANG ER SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"405","MAL16110085T","KPC HERBS XIN YU NU JIAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"406","MAL16110046T","KPC HERBS SHA SHEN MAI DONG TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"407","MAL16120026T","KPC HERBS GUI ZHI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"408","MAL16110087T","KPC HERBS TAO HONG SI WU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"409","MAL16120027T","KPC HERBS SUAN ZAO REN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"410","MAL16110050T","KPC HERBS GAN MAI DA ZAO TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"411","MAL16110051T","KPC HERBS XUE FU ZHU YU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"412","MAL16110088T","KPC HERBS GUI ZHI JIA LONG GU MU LI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"413","MAL16120028T","KPC HERBS XIN BAO HE WAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"414","MAL19960981AZ","AMOXIGRAN 250MG/5ML GRANULES","HOVID BERHAD"
"415","MAL20002449ACZ","CLAMOVID GRANULES","HOVID BERHAD"
"416","MAL20013750AZ","SPEDIFEN 400MG GRANULES","EP PLUS GROUP SDN. BHD."
"417","MAL20162602ACREZ","hovid-Xyfisim Granules 100mg","HOVID BERHAD"
"418","MAL20162601ACREZ","hovid-Xyfisim Granules 50mg","HOVID BERHAD"
"419","MAL17010013T","Da Chai Hu Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"420","MAL17010015T","Yin Chen Wu Ling San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"421","MAL17010016T","Qing Shu Yi Qi Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"422","MAL17010003T","Ju Pi Zhu Ru Tang Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"423","MAL17010020T","""KPC HERBS XIAO CHAI HU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"424","MAL16120033T","KPC HERBS SI WU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"425","MAL17010021T","KPC HERBS QI JU DI HUANG WAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"426","MAL16120034T","KPC HERBS (XIN) TAO REN CHENG QI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"427","MAL16120045T","KPC HERBS YI GUAN JIAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"428","MAL17020006T","KPC HERBS XIAO JIAN ZHONG TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
