page,din_rows,ok_rows,issues
1,7,7,"Header calibration weak, Manufacturer pack leaks (7)"
2,7,7,"Header calibration weak, Manufacturer pack leaks (7)"
3,8,8,"Header calibration weak, Manufacturer pack leaks (8)"
