HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521034244@202819@101137481@-1@101101@205637,MAIN,HEALACE GEL 15 GM,VIRCHOW BIOTECH PRIVATE LIMITED,RECOMBINANT HUMAN EPIDERMAL GROWTH FACTOR GEL ,15 GM GEL,GEL,Non-Scheduled,-1,2437.50,162.50,Dec-2025
1521034245@204275@101137481@-1@101088@205637,MAIN,HEALACE OINTMENT 7.5 GM,VIRCHOW BIOTECH PRIVATE LIMITED,RECOMBINANT HUMAN EPIDERMAL GROWTH FACTOR OINTMENT ,7.5 GM OINTMENT,OINTMENT,Non-Scheduled,-1,1356.56,169.57,Dec-2025
1521067169@87327@101169664@2642@101101@205637,MAIN,REGEN D 150 MG GEL 15 GM,BHARAT BIO TECH INTERNATIONAL,RECOMBINANT HUMAN EPIDERMAL GROWTH FACTOR GEL 150 MG,15 GM GEL,GEL,Non-Scheduled,-1,2041.00,136.07,Dec-2025
1521067170@87325@101169664@2642@101182@205637,MAIN,REGEN D 150 MG GEL 7.5 GM,BHARAT BIO TECH INTERNATIONAL,RECOMBINANT HUMAN EPIDERMAL GROWTH FACTOR ORAL GEL 150 MG,7.5 GM ORAL GEL,ORAL GEL,Non-Scheduled,-1,1134.38,141.80,Dec-2025
1521067171@87329@101169664@3879@101101@205637,MAIN,REGEN D 60 MG GEL 15 GM,BHARAT BIO TECH INTERNATIONAL,RECOMBINANT HUMAN EPIDERMAL GROWTH FACTOR GEL 60 MG,15 GM GEL,GEL,Non-Scheduled,-1,1531.00,102.07,Dec-2025
1521067172@87330@101169664@3879@101101@205637,MAIN,REGEN D 60 MG GEL 7.5 GM,BHARAT BIO TECH INTERNATIONAL,RECOMBINANT HUMAN EPIDERMAL GROWTH FACTOR GEL 60 MG,7.5 GM GEL,GEL,Non-Scheduled,-1,794.00,99.25,Dec-2025
