detail_url,page_num,detailed_view_scraped
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2959462027?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4780642259?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56362?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/817207524?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2574336957?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3128117414?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/939245836?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56683?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/54852?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3100436767?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1069389540?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1069389541?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1069389542?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3080239464?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3080239465?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/54509?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51188?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2994848324?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2994848323?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2360899001?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3888660221?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3888660222?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1913832757?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1913832756?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1329128027?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2852459124?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2446308916?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3754441710?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3157451475?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3157451476?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3157451477?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3157451478?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3157451479?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3160104260?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3160104261?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55489?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55507?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2553119676?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3022321149?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3539597453?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3092684290?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3170185166?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3170185165?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55979?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2638858010?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3922819594?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3922819593?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3759455394?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51210?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51209?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2729044741?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56694?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56693?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51201?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55219?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51217?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51219?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1590162823?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1590162824?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3423151121?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1946727762?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1946727763?t:ac=overview,2,no
