page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
220,2,2,0,0,2,False,Header calibration weak
221,1,0,0,0,0,False,Few prices detected for DIN rows | Header calibration weak
222,3,2,0,0,0,False,Header calibration weak
224,3,3,0,0,0,False,Header calibration weak
225,1,0,0,0,0,False,Few prices detected for DIN rows | Header calibration weak
226,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
227,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
228,1,1,0,0,0,False,Header calibration weak | Manufacturer pack leaks (1)
229,5,5,0,0,0,False,Header calibration weak | Manufacturer pack leaks (5)
232,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
234,7,7,0,0,1,False,Header calibration weak | Manufacturer pack leaks (7)
235,7,7,0,0,0,False,Header calibration weak | Manufacturer pack leaks (7)
236,8,8,0,0,1,False,Header calibration weak | Manufacturer pack leaks (8)
244,1,1,0,1,4,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (4)
248,10,10,0,1,8,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (8)
249,21,21,0,2,6,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (6)
250,8,8,0,0,5,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (5)
251,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
252,13,13,0,4,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
253,9,9,0,6,3,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (3)
254,17,17,0,0,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
255,21,21,0,13,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
256,20,20,0,4,2,True,Header calibration weak | Manufacturer pack leaks (20)
257,16,16,0,10,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
258,19,19,0,0,2,True,Header calibration weak | Manufacturer pack leaks (19)
259,8,8,0,0,3,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (3)
260,14,14,0,0,4,True,Header calibration weak | Manufacturer pack leaks (14) | Multiple generics (4)
261,21,21,0,1,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
262,15,15,0,1,3,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (3)
263,26,26,0,6,1,True,Header calibration weak | Manufacturer pack leaks (26)
264,31,31,0,5,4,True,Header calibration weak | Manufacturer pack leaks (31) | Multiple generics (4)
265,17,17,0,5,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
266,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
267,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
268,20,20,0,10,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
269,26,26,0,1,5,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (5)
270,7,7,0,0,8,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (8)
271,8,8,0,0,8,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (8)
272,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
273,10,10,0,0,9,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (9)
274,15,15,0,1,6,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (6)
275,19,19,0,0,5,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (5)
276,9,9,0,0,6,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (6)
277,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
278,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
279,25,25,0,3,4,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (4)
280,22,22,0,7,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
281,13,13,0,1,7,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (7)
282,16,16,0,5,6,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (6)
283,13,13,0,0,8,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (8)
284,1,1,0,0,1,True,Header calibration weak | Manufacturer pack leaks (1)
288,26,26,0,4,6,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (6)
289,11,11,0,2,7,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (7)
290,10,10,0,3,7,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (7)
291,21,21,0,0,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
292,23,23,0,5,4,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (4)
293,3,3,0,0,2,True,Header calibration weak | Manufacturer pack leaks (3)
296,10,10,0,0,7,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (7)
297,8,8,0,0,7,True,Header calibration weak | Manufacturer pack leaks (6) | Multiple generics (7)
298,9,9,0,0,5,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (5)
299,19,19,0,0,8,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (8)
300,11,11,0,0,8,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (8)
301,15,15,0,0,5,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (5)
302,20,20,0,16,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
303,21,21,0,7,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
304,13,13,0,0,3,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (3)
305,8,8,0,0,2,True,Header calibration weak | Manufacturer pack leaks (8)
308,7,7,0,1,6,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (6)
309,20,20,0,14,3,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (3)
310,22,22,0,19,2,True,Header calibration weak | Manufacturer pack leaks (22)
