Product,Company,Source,URL,IsDuplicate
50,ISA,selenium,https://www.alfabeta.net/precio/50.html,FALSE
100% WHEY PROTEIN,Laboratorio ENA,api,https://www.alfabeta.net/precio/100-whey-protein.html,FALSE
102 FOCUS,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-focus.html,FALSE
102 MAGNESIO,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-magnesio.html,FALSE
102 MAGNESIO CITRATO,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-magnesio-citrato.html,FALSE
102 MAGNESIO GUMMIES,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-magnesio-gummies.html,FALSE
102 MUJER,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-mujer.html,FALSE
102 PLUS,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-plus.html,FALSE
102 PLUS EFERVESCENTE,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-plus-efervescente.html,FALSE
102 SPORT BCAA,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-sport-bcaa.html,FALSE
102 VITAMINA C,Laboratorio Millet,api,https://www.alfabeta.net/precio/102-vitamina-c.html,FALSE
3 TC,GlaxoSmithKline Biopharma,api,https://www.alfabeta.net/precio/3-tc.html,FALSE
3 TC + AZT ELEA,Elea,selenium,https://www.alfabeta.net/precio/3-tc--azt-elea.html,FALSE
3 TC COMPLEX,GlaxoSmithKline Biopharma,api,https://www.alfabeta.net/precio/3-tc-complex.html,FALSE
4 x 4,ISA,selenium,https://www.alfabeta.net/precio/4-x-4.html,FALSE
420 CBD BEAUTY,IQUISA,api,https://www.alfabeta.net/precio/420-cbd-beauty.html,FALSE
420 CBD RELAX,IQUISA,api,https://www.alfabeta.net/precio/420-cbd-relax.html,FALSE
420 CBD TETITA FELIZ PACK,IQUISA,api,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,FALSE
5 FU,Cassará,api,https://www.alfabeta.net/precio/5-fu.html,FALSE
5-ASA 1000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-1000.html,FALSE
5-ASA 2000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-2000.html,FALSE
5-ASA 400,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-400.html,FALSE
5-ASA 4000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-4000.html,FALSE
5-ASA 500,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-500.html,FALSE
5-ASA 800,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-800.html,FALSE
5XR 1000,Ariston,api,https://www.alfabeta.net/precio/5xr-1000.html,FALSE
5XR 500,Ariston,api,https://www.alfabeta.net/precio/5xr-500.html,FALSE
8 HORAS,Elea,api,https://www.alfabeta.net/precio/8-horas.html,FALSE
A ACIDO,Domínguez,api,https://www.alfabeta.net/precio/a-acido.html,FALSE
A ACIDO EMOLIENTE,Domínguez,api,https://www.alfabeta.net/precio/a-acido-emoliente.html,FALSE
A ACIDO VITAL,Domínguez,api,https://www.alfabeta.net/precio/a-acido-vital.html,FALSE
A-VITEL,Medipharma,selenium,https://www.alfabeta.net/precio/a-vitel.html,FALSE
A-VITEL E,Medipharma,selenium,https://www.alfabeta.net/precio/a-vitel-e.html,FALSE
A.H.A,Sempre Giovane,selenium,https://www.alfabeta.net/precio/aha.html,FALSE
ABACAVIR ELEA,Elea,api,https://www.alfabeta.net/precio/abacavir-elea.html,FALSE
ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,api,https://www.alfabeta.net/precio/abacavir-lamivudina-trb-pharma.html,FALSE
ABARAX,Elea,api,https://www.alfabeta.net/precio/abarax.html,FALSE
ABAXON,Roemmers,api,https://www.alfabeta.net/precio/abaxon.html,FALSE
ABELCET,Teva Argentina,api,https://www.alfabeta.net/precio/abelcet.html,FALSE
ABERIC,Biotechno Pharma,api,https://www.alfabeta.net/precio/aberic.html,FALSE
ABINTRA,B-Life,api,https://www.alfabeta.net/precio/abintra.html,FALSE
ABIRANOVA,Celnova Argentina,api,https://www.alfabeta.net/precio/abiranova.html,FALSE
ABIRATERON-A,Lafedar,selenium,https://www.alfabeta.net/precio/abirateron-a.html,FALSE
ABIRATERONA GLENMARK,Glenmark,api,https://www.alfabeta.net/precio/abiraterona-glenmark.html,FALSE
ABLOOM,Duncan,api,https://www.alfabeta.net/precio/abloom.html,FALSE
ABLOOM 5,Duncan,api,https://www.alfabeta.net/precio/abloom-5.html,FALSE
ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,api,https://www.alfabeta.net/precio/abnoba-viscum-fraxini.html,FALSE
ABRALUX,Valuge,api,https://www.alfabeta.net/precio/abralux.html,FALSE
ABRAXANE,Bristol,api,https://www.alfabeta.net/precio/abraxane.html,FALSE
ABRIKAT,Eczane,api,https://www.alfabeta.net/precio/abrikat.html,FALSE
ABRILADA,Pfizer,api,https://www.alfabeta.net/precio/abrilada.html,FALSE
ABRYSVO,Pfizer,api,https://www.alfabeta.net/precio/abrysvo.html,FALSE
AC QUAXA,F & F Farma,api,https://www.alfabeta.net/precio/ac-quaxa.html,FALSE
ACALASTATERA,Jayor,api,https://www.alfabeta.net/precio/acalastatera.html,FALSE
ACALIX,Roemmers,api,https://www.alfabeta.net/precio/acalix.html,FALSE
ACALIX AP,Roemmers,api,https://www.alfabeta.net/precio/acalix-ap.html,FALSE
ACALIX CRONOS,Roemmers,api,https://www.alfabeta.net/precio/acalix-cronos.html,FALSE
ACANTEX,Siegfried,api,https://www.alfabeta.net/precio/acantex.html,FALSE
ACCELON,Olbia Pharma,api,https://www.alfabeta.net/precio/accelon.html,FALSE
ACCESORIOS PARA FISTULAS,Coloplast,api,https://www.alfabeta.net/precio/accesorios-para-fistulas.html,FALSE
