page,din_rows,ok_rows,issues
455,17,17,"Header calibration weak, Manufacturer pack leaks (17), Multiple generics (5)"
456,18,18,"Header calibration weak, Manufacturer pack leaks (18)"
457,17,17,"Header calibration weak, Manufacturer pack leaks (17)"
458,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (5)"
459,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (6)"
460,9,9,"Header calibration weak, Manufacturer pack leaks (9), Multiple generics (6)"
461,9,9,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (7)"
462,23,23,"Header calibration weak, Manufacturer pack leaks (23)"
463,25,25,"Header calibration weak, Manufacturer pack leaks (25)"
464,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (3)"
465,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (4)"
466,18,18,"Header calibration weak, Manufacturer pack leaks (18), Multiple generics (3)"
467,19,19,"Header calibration weak, Manufacturer pack leaks (19)"
468,14,14,"Header calibration weak, Manufacturer pack leaks (14)"
469,15,15,"Header calibration weak, Manufacturer pack leaks (15)"
470,25,25,"Header calibration weak, Manufacturer pack leaks (25)"
471,25,25,"Header calibration weak, Manufacturer pack leaks (25)"
472,20,20,"Header calibration weak, Manufacturer pack leaks (20)"
473,19,19,"Header calibration weak, Manufacturer pack leaks (19)"
474,20,20,"Header calibration weak, Manufacturer pack leaks (20)"
475,6,6,"Header calibration weak, Manufacturer pack leaks (6)"
476,26,26,"Header calibration weak, Manufacturer pack leaks (26)"
477,15,15,"Header calibration weak, Manufacturer pack leaks (15)"
478,14,14,"Header calibration weak, Manufacturer pack leaks (14)"
479,19,19,"Header calibration weak, Manufacturer pack leaks (19)"
480,20,20,"Header calibration weak, Manufacturer pack leaks (20)"
481,21,21,"Header calibration weak, Manufacturer pack leaks (21)"
482,7,7,"Header calibration weak, Manufacturer pack leaks (7)"
483,14,14,"Header calibration weak, Manufacturer pack leaks (14)"
484,19,19,"Header calibration weak, Manufacturer pack leaks (19)"
485,15,15,"Header calibration weak, Manufacturer pack leaks (15)"
486,16,16,"Header calibration weak, Manufacturer pack leaks (16)"
487,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (3)"
488,11,11,"Header calibration weak, Manufacturer pack leaks (11), Multiple generics (7)"
489,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (5)"
490,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (4)"
491,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (4)"
492,29,29,"Header calibration weak, Manufacturer pack leaks (29), Multiple generics (4)"
493,9,9,"Header calibration weak, Manufacturer pack leaks (9), Multiple generics (7)"
494,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (6)"
495,16,16,"Header calibration weak, Manufacturer pack leaks (16), Multiple generics (6)"
496,18,18,"Header calibration weak, Manufacturer pack leaks (18), Multiple generics (5)"
497,24,24,"Header calibration weak, Manufacturer pack leaks (24)"
498,16,16,"Header calibration weak, Manufacturer pack leaks (16), Multiple generics (4)"
499,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (4)"
500,16,16,"Header calibration weak, Manufacturer pack leaks (4), Multiple generics (5)"
501,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (6)"
502,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (4)"
503,22,22,"Header calibration weak, Manufacturer pack leaks (22)"
504,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (5)"
505,26,26,"Header calibration weak, Manufacturer pack leaks (26)"
506,20,20,"Header calibration weak, Manufacturer pack leaks (20)"
507,23,23,"Header calibration weak, Manufacturer pack leaks (23)"
508,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (5)"
509,13,13,"Header calibration weak, Manufacturer pack leaks (13)"
510,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (4)"
511,18,18,"Header calibration weak, Manufacturer pack leaks (18), Multiple generics (5)"
512,16,16,"Header calibration weak, Manufacturer pack leaks (16), Multiple generics (8)"
513,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (7)"
514,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (4)"
515,12,12,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (4)"
516,9,9,"Header calibration weak, Manufacturer pack leaks (9), Multiple generics (7)"
517,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (3)"
518,15,15,"Header calibration weak, Manufacturer pack leaks (15), Multiple generics (5)"
519,10,10,"Header calibration weak, Manufacturer pack leaks (6), Multiple generics (6)"
520,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (5)"
521,2,2,"Header calibration weak, Manufacturer pack leaks (2)"
525,7,7,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (10)"
526,7,7,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (7)"
527,11,11,"Header calibration weak, Manufacturer pack leaks (11), Multiple generics (4)"
528,8,8,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (3)"
531,1,1,"Header calibration weak, Manufacturer pack leaks (1), Multiple generics (11)"
532,2,2,"Header calibration weak, Manufacturer pack leaks (2), Multiple generics (10)"
537,6,6,"Header calibration weak, Manufacturer pack leaks (6), Multiple generics (9)"
538,1,1,"Header calibration weak, Manufacturer pack leaks (1), Multiple generics (9)"
540,1,1,"Header calibration weak, Manufacturer pack leaks (1), Multiple generics (10)"
541,1,1,"Header calibration weak, Manufacturer pack leaks (1), Multiple generics (10)"
542,4,4,"Header calibration weak, Manufacturer pack leaks (4), Multiple generics (10)"
