LOCAL_PACK_CODE,PCID Mapping
MAL20013824XRZ,1692146
MAL19973702AZ,1901559
MAL19930603AZ,1691744
MAL14125075AZ,1691860
MAL18106029AZ,1901593
MAL19890672AZ,1691463
MAL12010004AZ,943640
MAL20031731AZ,1420904
MAL12045008AZ,943130
MAL19900497AZ,387614
MAL19911434XZ,1421149
MAL09011420AZ,1691972
MAL08061683ACZ,1901541
MAL19986502XZ,1565739
MAL05072029AZ,349260
MAL19116029X,1691518
MAL19860580AZ,2107556
MAL19861270AZ,354122
MAL20020689AZ,1692183
MAL19988494AZ,1691920
MAL19870623AZ,321395
MAL14115015ARZ,1901506
MAL19991202XZ,1691725
MAL20020883AZ,619094
MAL17085008AZ,1959134
MAL16015033AZ,1901620
MAL11040016AZ,1901527
MAL19921520AZ,357448
MAL20000366AZ,665137
MAL14115013AZ,1691514
MAL11010035X,1691612
MAL20051379AZ,1901510
MAL19993044AZ,943165
MAL07050041AZ,665053
MAL15015046AZ,1691595
MAL10100179AZ,914937
MAL08010771ACZ,1691295
MAL20014330ACZ,301779
MAL20001821AZ,1421131
MAL17117037AZ,1953474
MAL19870628AZ,1691897
MAL19984026AZ,354302
MAL18046157AZ,1565771
MAL12020016AZ,619006
MAL20020819AZ,1691476
MAL15125040AZ,1691511
MAL11070015AZ,1691541
MAL20032177XZ,1691788
MAL20040925ACZ,301791
MAL20020256AZ,1691962
MAL06081196AZ,1691345
MAL19920712AZ,943164
MAL19900412AZ,943886
MAL19961011ARZ,1901558
MAL19871646AZ,356397
MAL19992591AZ,641735
MAL20014217AZ,1565810
MAL19911416X,1676519
MAL08061648AZ,1901525
MAL15045138AZ,1959141
MAL20040092AZ,1565908
MAL05051105ACZ,1691715
MAL06100580AZ,337936
MAL19940208XCZ,1964106
MAL19016090ACRZ,1844375
MAL19990266AZ,1565968
MAL19890222ACZ,1959262
MAL19973717X,1691455
MAL08010687ACZ,1901596
MAL21066033XZ,1953476
MAL19950522AZ,302513
MAL19962583AZ,1691383
MAL19900594AZ,1901618
MAL18086129AZ,1692001
MAL19992773AZ,943805
MAL14125153ARZ,1692120
MAL12050012XZ,1691443
MAL19962584AZ,1676508
MAL07101253AZ,1691667
MAL19985539AZ,345522
MAL07010967X,943136
MAL17085061AZ,1691452
MAL20040625AZ,619141
MAL18106024AZ,1901491
MAL07061568XCZ,1964105
MAL05041949AZ,1565847
MAL20040205AZ,1421128
MAL20034830X,665113
MAL19986499AZ,1565829
MAL20041269AZ,1901631
MAL20020025AZ,287539
MAL11080009X,1691767
MAL07061587X,1565930
MAL05041880AZ,338059
MAL08032206X,943756
MAL18056089X,1901485
MAL10120014ACRZ,1964117
MAL06061514AZ,1959258
MAL12085066AZ,1421090
MAL19912686XZ,1692123
MAL19971379AZ,1676509
MAL10080061ACZ,1691811
MAL05092228AZ,1565848
MAL19900510AZ,350429
MAL20096007AZ,1691530
MAL20106005AZ,1691658
MAL19870958AZ,1901518
MAL13085049AZ,327215
MAL19992399AZ,239075
MAL19991448XZ,1691572
MAL19950521AZ,302929
MAL20014361AZ,943816
MAL20126126AZ,1691470
MAL19985513AZ,284439
MAL05051076AZ,1565886
MAL20014363XZ,1692127
MAL06081203AZ,1691708
MAL19984856XZ,1692026
MAL18116078AZ,1691633
MAL14085013AZ,1691975
MAL07124630AZ,1692025
MAL10033149AZ,1691682
MAL20014360AZ,943161
MAL07081523AZ,168426
MAL19985561AZ,1691439
MAL20041207AZ,1691607
MAL19963164AZ,1836236
MAL19987983AZ,1691678
MAL19985187AZ,1421145
MAL20013823XRZ,1691906
MAL19961699AZ,943224
MAL19912715X,1691652
MAL07124609AZ,1565840
MAL19970516AZ,1691610
MAL19993080AZ,2221393
MAL20002272AZ,1691998
MAL18026183AZ,1565924
MAL19930008XZ,1691587
MAL10053666AZ,600653
MAL14085017AZ,943139
MAL11050003AZ,1676526
MAL17085014AZ,1691745
MAL05092217AZ,1691880
MAL06061679XZ,1691973
MAL18046003X,1837941
MAL10080066AZ,602477
MAL05072030AZ,1692184
MAL19861288AZ,1691561
MAL19860465AZ,1691328
MAL20116018AZ,1676512
MAL19940029AZ,1691625
MAL19961331AZ,1959147
MAL15045074AZ,1959256
MAL10021817XZ,2053878
MAL19920731AZ,944215
MAL20032263AZ,1421132
MAL19970929AZ,329039
MAL18056152AZ,1691254
MAL06111398AZ,1691331
MAL19993045AZ,943166
MAL19984390AZ,1565819
MAL12095087ARZ,1691512
MAL19870636AZ,321394
MAL15045160AZ,2221394
MAL20096012AZ,1691764
MAL19971865XZ,1692054
MAL08082444XZ,1901519
MAL19860391AZ,1691272
MAL19911419XZ,619016
MAL19971334XZ,515402
MAL10021801AZ,665107
MAL19890565ARZ,1901531
MAL17085044AZ,1691716
MAL09111765XZ,1691723
MAL06091374XRS,376827
MAL19940735XZ,1691759
MAL19991905AZ,1565920
MAL19950735AZ,1691265
MAL07031138ACZ,943205
