LOCAL_PACK_CODE,PCID Mapping
MAL04125501X,1691471
MAL20021411AZ,1692173
MAL19940050X,1691629
MAL09032007AZ,582425
MAL19991366AZ,943484
MAL19900636AZ,1691917
MAL07122844AZ,1691627
MAL17075013AZ,1691928
MAL20000738AZ,943176
MAL20040565AZ,1691327
MAL17116078XR,1565979
MAL20033520XZ,1901556
MAL18016082X,1565935
MAL19870205AZ,1691492
MAL19860104AZ,923427
MAL18016060ACZ,1836217
MAL19912674X,1691284
MAL20046124ACZ,1676517
MAL19900635AZ,1692151
MAL13115224XZ,1565860
MAL19860098AZ,943531
MAL19940030AZ,1691895
MAL19930601AZ,1691883
MAL22046027AZ,1901568
MAL19860396AZ,1691334
MAL14125073AZ,1959155
MAL19930491AZ,515424
MAL19861328AZ,1691770
MAL19985962AZ,1691621
MAL07082983XZ,1691948
MAL19890370AZ,1901483
MAL19860359AZ,943552
MAL20046133X,1901592
MAL16115040AZ,1691260
MAL19900461AZ,1691875
MAL12020011AZ,65613
MAL04125505AZ,1959122
MAL19972517X,1692185
MAL20071704AZ,1691646
MAL19016096AZ,1691239
MAL15085066XZ,1691986
MAL20021012AZ,1691641
MAL19890671AZ,1837960
MAL18086163AZ,1691828
MAL07050026AZ,1692176
MAL19872182AZ,1421134
MAL20021414AZ,2171690
MAL09100008X,515430
MAL19912381XZ,1691444
MAL10110027AZ,1691501
MAL22126213AZ,1959245
MAL07122846AZ,1692105
MAL19961700AZ,982136
MAL19972530AZ,515494
MAL11040026AZ,1901571
MAL20076054XC,1964107
MAL23036031XC,1964114
MAL20032244AZ,327225
MAL19912973ACZ,1901522
MAL19987004AZ,1565946
MAL19990579AZ,944127
MAL15045129AZ,1691698
MAL20016143AZ,1691500
MAL06011683AZ,1565959
MAL20040821AZ,582424
MAL20000851AZ,1901581
MAL19930606AZ,1565948
MAL19920481AZ,1691505
MAL19984025AZ,1909794
MAL19993046AZ,1421082
MAL06051568XZ,1692016
MAL10053667AZ,1676521
MAL20000368AZ,1909797
MAL17035032ARSZ,2221409
MAL19950273XZ,1909800
MAL10110001AZ,943255
MAL07090903AZ,328841
MAL19962087AZ,943821
MAL09032026AZ,1691904
MAL19950233AZ,2221389
MAL19900407AZ,420722
MAL21016006AZ,1959161
MAL09051562AZ,1691802
MAL12115064AZ,1691544
MAL19930493AZ,356903
MAL20126016AZ,1901526
MAL19890080AZ,181864
MAL15095022AZ,1692084
MAL20040892AZ,1421013
MAL19971346XZ,1901513
MAL20126009AZ,1959129
MAL18046131XC,1836241
MAL19890246AZ,490168
MAL20014358AZ,1901555
MAL16125034AZ,1691762
MAL19930647AZ,600125
MAL19985556AZ,317123
MAL19930599AZ,1565896
MAL20040570AZ,168486
MAL10021802AZ,665110
MAL19962551AZ,1901473
MAL19911435XZ,1421151
MAL08051617XZ,1691969
MAL20021143AZ,1909809
MAL20014495AZ,1420986
MAL19973343AZ,199700
MAL07124602ACZ,168494
MAL19984020AZ,250815
MAL19991436AZ,1691876
MAL21016009ACZ,1901610
MAL19985172AZ,420688
MAL05032522AZ,1565939
MAL20034832X,665114
MAL20021013AZ,1691951
MAL19940037AZ,1836175
MAL19890541AZ,1959175
MAL07050954X,1691893
MAL04125504AZ,1959127
MAL20076029ACZ,1691341
MAL10110025AZ,1959138
MAL05101672AZ,1836179
MAL12075023ARZ,1959260
MAL19940209XCZ,1959144
MAL05051063AZ,1691834
MAL19890682AZ,1691867
MAL11040012AZ,1901597
MAL18106136AZ,1691278
MAL19950545XZ,1901503
MAL20040802AZ,490178
MAL18026002AZ,1676497
MAL15085079AZ,1420922
MAL15105034AZ,1421146
MAL19988491AZ,515459
MAL22086034XZ,1959252
MAL18116048XZ,1691423
MAL19962882XZ,1901545
MAL19870410AZ,65663
MAL06091506X,1838486
MAL19950097ARZ,1901500
MAL19930010XZ,1565740
MAL07122779AZ,1691700
MAL20014216AZ,1565806
MAL15045057AZ,326994
MAL19920348XZ,515478
MAL19900500AZ,923417
MAL20014348AZ,168534
MAL17075014AZ,1692168
MAL20020156AZ,1565800
MAL07050027AZ,1692159
MAL18031001ACZ,1691997
MAL12115063AZ,1691516
MAL19987985AZ,1565953
MAL19985903ACZ,1691268
MAL19991442XZ,515415
MAL19096015AZ,1691701
MAL08091416AZ,1959121
MAL19920935XC,943793
MAL06011717AZ,1691933
MAL18016038AZ,1691535
MAL19962863AZ,384585
MAL10110022AZ,1959157
MAL20061488ACRZ,1964108
MAL21106022AZ,1901567
MAL20000068AZ,1691634
MAL09122028AZ,599894
MAL08010688ACZ,1901612
MAL19970963AZ,1691632
MAL19984399AZ,1565808
MAL14055046AZ,1901523
MAL19950085XZ,943221
MAL10120020ACZ,943232
MAL20012731AZ,65658
MAL19900629AZ,1691980
MAL19970280ARZ,1974923
MAL18086102AZ,1421027
MAL20032425AZ,1692163
MAL16115039AZ,1691248
MAL19880212AZ,65633
MAL09011477XZ,1691520
MAL20172991XZ,1691585
MAL19973689AZ,202231
MAL19920352XZ,943893
MAL19940031AZ,1691692
MAL19016004AZ,1691542
MAL19962883XZ,1901489
MAL09100265AZ,1692153
MAL17085006AZ,1691356
MAL19992589AZ,1901540
MAL19961319AZ,1959180
MAL20000367AZ,1901552
MAL11110007AZ,1421095
MAL11010028AZ,134929
MAL19056009AZ,1691806
MAL11030111X,943228
MAL05121152AZ,420761
MAL05012310AZ,943860
MAL20106004AZ,1901516
MAL19921472XZ,1421025
MAL19940289AZ,1692156
MAL12020029AZ,1691908
MAL18086159AZ,1565851
MAL07091058X,944153
MAL19973691AZ,238911
MAL18071005AZ,1691485
MAL19950414AZ,65660
MAL10070578AZ,208979
MAL19993049AZ,943162
MAL19961701AZ,665221
MAL19861304AZ,1692022
MAL19900030AZ,1837953
MAL19973348AZ,943193
MAL14125074AZ,1565916
MAL08032207X,1565931
MAL20021157AZ,943609
MAL16075016X,943645
MAL19860841AZ,1691244
MAL23076020XC,1964115
MAL09072775AZ,1565905
MAL07124643AZ,1565854
MAL12015003AZ,1691631
MAL19913262AZ,327034
MAL16015034AZ,1836243
MAL20002296XRZ,1691996
MAL17107014AZ,1691242
MAL09032033XC,368862
MAL19861523AZ,1421127
MAL08042477AZ,65576
MAL07122833X,1901534
MAL19993072AZ,1901572
MAL20040058AZ,515456
MAL05101667AZ,1691855
MAL20014220AZ,1420978
MAL19971835AZ,1691337
MAL19860156AZ,288064
MAL18016021AZ,1691655
MAL11010029AZ,134927
MAL19900530AZ,737872
MAL19860043AZ,923423
MAL20013759XC,1844371
MAL20034653AZ,1692155
MAL11070004AZ,1691486
MAL08120871AZ,600190
MAL21066021AZ,1901468
MAL19950096ARZ,1901578
MAL19962862AZ,384586
MAL20106010AZ,1959259
MAL11060030X,943660
MAL18106109AZ,1959139
MAL19861548AZ,1691935
MAL20091870AZ,1909795
MAL10043690AZ,65611
MAL20012739AZ,1953362
MAL19992598AZ,1692133
MAL19950381AZ,1901634
MAL19920728AZ,1691429
MAL19940292AZ,1691276
MAL19900511AZ,345948
MAL19870138AZ,943492
MAL19940186XCZ,1974921
MAL19988492AZ,1565943
MAL04091675XZ,1691964
MAL19940052X,665170
MAL19973009AZ,420730
MAL19940149AZ,1565913
MAL12025054AZ,1692089
MAL19860681AZ,665149
MAL20020811AZ,943666
MAL19940294AZ,1565938
MAL20031763ACZ,1959131
MAL19871961AZ,1836171
MAL19991434AZ,1691460
MAL20021173AZ,1420907
MAL20040192AZ,1901544
MAL19870561AZ,1421060
MAL19940271AZ,1691733
MAL22116019AZ,1901550
MAL19990104AZ,1691775
MAL04030533X,1691777
MAL14115016ARZ,1901595
MAL09100259AZ,392678
MAL05041947XZ,373323
MAL05061485AZ,238771
MAL20040212AZ,619135
MAL19988495AZ,1691790
MAL20040893AZ,619120
MAL11110008AZ,1565745
MAL08021472AZ,1691371
MAL22096028AZ,1901554
MAL19990610X,1691743
