page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
1,2,2,0,0,2,False,Header calibration weak
2,1,0,0,0,0,False,Few prices detected for DIN rows | Header calibration weak
3,3,2,0,0,0,False,Header calibration weak
5,3,3,0,0,0,False,Header calibration weak
6,1,0,0,0,0,False,Few prices detected for DIN rows | Header calibration weak
7,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
8,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
9,1,1,0,0,0,False,Header calibration weak | Manufacturer pack leaks (1)
10,5,5,0,0,0,False,Header calibration weak | Manufacturer pack leaks (5)
13,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
15,7,7,0,0,1,False,Header calibration weak | Manufacturer pack leaks (7)
16,7,7,0,0,0,False,Header calibration weak | Manufacturer pack leaks (7)
17,8,8,0,0,1,False,Header calibration weak | Manufacturer pack leaks (8)
25,1,1,0,1,4,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (4)
29,10,10,0,1,8,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (8)
30,21,21,0,2,6,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (6)
31,8,8,0,0,5,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (5)
32,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
33,13,13,0,4,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
34,9,9,0,6,3,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (3)
35,17,17,0,0,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
36,21,21,0,13,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
37,20,20,0,4,2,True,Header calibration weak | Manufacturer pack leaks (20)
38,16,16,0,10,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
39,19,19,0,0,2,True,Header calibration weak | Manufacturer pack leaks (19)
40,8,8,0,0,3,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (3)
41,14,14,0,0,4,True,Header calibration weak | Manufacturer pack leaks (14) | Multiple generics (4)
42,21,21,0,1,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
43,15,15,0,1,3,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (3)
44,26,26,0,6,1,True,Header calibration weak | Manufacturer pack leaks (26)
45,31,31,0,5,4,True,Header calibration weak | Manufacturer pack leaks (31) | Multiple generics (4)
46,17,17,0,5,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
47,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
48,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
49,20,20,0,10,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
50,26,26,0,1,5,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (5)
51,7,7,0,0,8,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (8)
52,8,8,0,0,8,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (8)
53,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
54,10,10,0,0,9,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (9)
