FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
ALOE VERA & HYALURONIC ACID & MANDELIC ACID,,ACNESTAL FM FACEWASH 60 ML,ACNESTAL FM FACEWASH 60 ML,Non-Scheduled,Not Applicable,FACEWASH,2026-01-25T16:41:31,ALOE VERA + D PANTHANOL + GLYCERIN + MANDELIC ACID + TRICLOSAN + VITAMIN E FACEWASH / ACNESTAL FM,LINUX LABORATORIES,3.87,Dec-2025,232.00/60 ML FACEWASH,1,MDELIC,70,383.00,5.47,SOLDERMA PHARMACEUTICALS PVT. LTD
ALOE VERA & HYALURONIC ACID & MANDELIC ACID,,MDELIC FACEWASH 70 GM,MDELIC FACEWASH 70 GM,Non-Scheduled,Not Applicable,FACEWASH,2026-01-25T16:41:33,ALOE VERA + D PANTHANOL + GLYCERIN + MANDELIC ACID + TRICLOSAN + VITAMIN E FACEWASH / MDELIC,SOLDERMA PHARMACEUTICALS PVT. LTD,5.47,Dec-2025,383.00/70 GM FACEWASH,1,ACNESTAL FM,60,232.00,3.87,LINUX LABORATORIES
