input_company,input_product_name,timestamp,error_message
Baliarda,AZIBIOTIC 500,2026-01-18T10:57:23,"Driver error during search: Message: 
"
Biotenk,BEFOL PLUS,2026-01-18T11:02:20,"Driver error during search: Message: 
"
Bioderma,BIODERMA SEBIUM HYDRA,2026-01-18T11:17:20,"Driver error during search: Message: 
"
Bioderma,BIODERMA SEBIUM H2O EDICION ESP.,2026-01-18T11:17:20,"Driver error during search: Message: 
"
Convatec,BOLSA ACTIVELIFE DREN. TRSP. 19-64 MM,2026-01-18T11:22:21,"Driver error during search: Message: 
"
Hollister,BOLSA CERRADA NEW IMAGE 44 MM,2026-01-18T11:22:22,"Driver error during search: Message: 
"
Trb-Pharma,BREXELL PLUS,2026-01-18T11:27:55,"Driver error during extraction: Message: 
"
Casasco,BRIMEPIL 180,2026-01-18T11:28:22,"Driver error during extraction: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T11:29:57,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T11:30:00,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T11:30:02,"Driver error during search: Message: 
"
Finadiet,CAPILFOR,2026-01-18T11:37:20,"Driver error during search: Message: 
"
Duncan,CEPLENE PLUS,2026-01-18T11:48:58,"Driver error: Message: Failed to write request to stream
"
Roemmers,CEPOREXIN,2026-01-18T11:48:58,AttributeError: 'NoneType' object has no attribute 'current_url'
Roemmers,CEPOREXIN DUO 1 GR,2026-01-18T11:49:05,AttributeError: 'NoneType' object has no attribute 'current_url'
Roemmers,CEPOREXIN DUO 750,2026-01-18T11:49:12,AttributeError: 'NoneType' object has no attribute 'current_url'
Hollister,CERAPLUS EXTENSORES DE BARRERAS FLEXIBLES,2026-01-18T11:49:19,AttributeError: 'NoneType' object has no attribute 'current_url'
Laboratorio Millet,CERAX,2026-01-18T11:49:26,AttributeError: 'NoneType' object has no attribute 'current_url'
Organon Arg.,CERAZETTE,2026-01-18T11:49:33,AttributeError: 'NoneType' object has no attribute 'current_url'
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T11:50:28,"Driver error during search: Message: 
"
B. Braun,AGUA INYECTABLE BP,2026-01-18T11:51:24,"Driver error during search: Message: 
"
Northia,AGUA DESTILADA NORTHIA,2026-01-18T11:51:32,"Driver error during search: Message: 
"
Laboratorios Tecsolpar,AGUA ESTERIL PARA INYECTABLES,2026-01-18T11:51:33,"Driver error during search: Message: 
"
Jayor,AGUA DESTILADA INYECTABLE JAYOR,2026-01-18T11:51:33,"Driver error during search: Message: 
"
Cepage,CEPAGE FPS 50+ COLOR,2026-01-18T11:51:50,OSError: [Errno 22] Invalid argument
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T11:59:39,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T11:59:50,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T11:59:51,"Driver error during search: Message: 
"
Galderma,CETAPHIL PRO AC CONT.ESP.LIMP.,2026-01-18T12:02:29,"Driver error during search: Message: 
"
Galderma,CETAPHIL PRO AC CONTROL HIDRA,2026-01-18T12:02:31,"Driver error during search: Message: 
"
Galderma,CETAPHIL PRO AD HIDRAT.CORP.,2026-01-18T12:02:32,"Driver error during search: Message: 
"
Galderma,CETAPHIL PRO AD LIMP.CORP.,2026-01-18T12:02:34,"Driver error during search: Message: 
"
Galderma,CETAPHIL PRO UREA,2026-01-18T12:02:51,"Driver error during search: Message: 
"
Galderma,CETAPHIL SERUM CERAMIDAS,2026-01-18T12:02:52,"Driver error during search: Message: 
"
Galderma,CETAPHIL SERUM VITAMINA C,2026-01-18T12:02:54,"Driver error during search: Message: 
"
