input_company,input_product_name,timestamp,error_message
ISA,+50,2026-01-30T22:26:07,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmp8pi8tdwq' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio ENA,100% WHEY PROTEIN,2026-01-30T22:26:07,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpkwf9z9gt' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 FOCUS,2026-01-30T22:26:08,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpq3elew_e' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 MAGNESIO,2026-01-30T22:26:14,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpgc2vsr78' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-30T22:26:15,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpvjazjhdm' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-30T22:26:15,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpdjb5cdu6' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 MUJER,2026-01-30T22:26:22,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmp9ltqr0mr' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-30T22:26:23,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmprl3u9vtc' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 PLUS,2026-01-30T22:26:23,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpxf6362wd' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 SPORT BCAA,2026-01-30T22:26:29,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpefvx350h' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Laboratorio Millet,102 VITAMINA C,2026-01-30T22:26:30,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpwmlioake' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
GlaxoSmithKline Biopharma,3 TC,2026-01-30T22:26:31,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmp4aaezfbk' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
Elea,3 TC + AZT ELEA,2026-01-30T22:26:36,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpzjsiflca' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
GlaxoSmithKline Biopharma,3 TC COMPLEX,2026-01-30T22:26:38,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpg2lj3t8n' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
ISA,4 x 4,2026-01-30T22:26:38,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpr24vg8_8' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
IQUISA,420 CBD BEAUTY,2026-01-30T22:26:44,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmp08wnxjtp' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
IQUISA,420 CBD RELAX,2026-01-30T22:26:45,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpid1_d6l4' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
IQUISA,420 CBD TETITA FELIZ PACK,2026-01-30T22:26:46,PermissionError: [WinError 5] Access is denied: 'D:\\quad99\\Scrappers\\output\\Argentina\\tmpuyurhnmg' -> 'D:\\quad99\\Scrappers\\output\\Argentina\\Productlist_with_urls.csv'
