HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521022528@198300@101127926@-1@101002@204988,MAIN,ENTIK HAIR OIL 200 ML,REMEMBER INDIA MEDICOS,MENTHOL OIL ,200 ML OIL,OIL,Non-Scheduled,-1,353.25,1.77,Dec-2025
1521022529@95490@101127926@-1@101002@204988,MAIN,ENTIK OIL 100 ML,REMEMBER INDIA MEDICOS,MENTHOL OIL ,100 ML OIL,OIL,Non-Scheduled,-1,201.09,2.01,Dec-2025
1521022531@95489@101127926@-1@101002@204988,MAIN,ENTIK OIL 50 ML,REMEMBER INDIA MEDICOS,MENTHOL OIL ,50 ML OIL,OIL,Non-Scheduled,-1,113.00,2.26,Dec-2025
1521094119@342052@101190120@2107@101006@204988,MAIN,SENZICOOL MEN 10 MG TABLET 8,JB CHEMICALS,MENTHOL TABLET 10 MG,8 TABLET,TABLET,Non-Scheduled,-1,33.75,4.22,Dec-2025
