page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
231,2,2,0,0,2,False,Header calibration weak
232,1,0,0,0,0,False,Few prices detected for DIN rows | Header calibration weak
233,3,2,0,0,0,False,Header calibration weak
235,3,3,0,0,0,False,Header calibration weak
236,1,0,0,0,0,False,Few prices detected for DIN rows | Header calibration weak
237,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
238,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
239,1,1,0,0,0,False,Header calibration weak | Manufacturer pack leaks (1)
240,5,5,0,0,0,False,Header calibration weak | Manufacturer pack leaks (5)
243,2,2,0,0,0,False,Header calibration weak | Manufacturer pack leaks (2)
245,7,7,0,0,1,False,Header calibration weak | Manufacturer pack leaks (7)
246,7,7,0,0,0,False,Header calibration weak | Manufacturer pack leaks (7)
247,8,8,0,0,1,False,Header calibration weak | Manufacturer pack leaks (8)
255,1,1,0,1,4,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (4)
259,10,10,0,1,8,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (8)
260,21,21,0,2,6,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (6)
261,8,8,0,0,5,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (5)
262,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
263,13,13,0,4,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
264,9,9,0,6,3,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (3)
265,17,17,0,0,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
266,21,21,0,13,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
267,20,20,0,4,2,True,Header calibration weak | Manufacturer pack leaks (20)
268,16,16,0,10,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
269,19,19,0,0,2,True,Header calibration weak | Manufacturer pack leaks (19)
270,8,8,0,0,3,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (3)
271,14,14,0,0,4,True,Header calibration weak | Manufacturer pack leaks (14) | Multiple generics (4)
272,21,21,0,1,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
273,15,15,0,1,3,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (3)
274,26,26,0,6,1,True,Header calibration weak | Manufacturer pack leaks (26)
275,31,31,0,5,4,True,Header calibration weak | Manufacturer pack leaks (31) | Multiple generics (4)
276,17,17,0,5,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
277,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
278,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
279,20,20,0,10,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
280,26,26,0,1,5,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (5)
281,7,7,0,0,8,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (8)
282,8,8,0,0,8,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (8)
283,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
284,10,10,0,0,9,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (9)
285,15,15,0,1,6,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (6)
286,19,19,0,0,5,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (5)
287,9,9,0,0,6,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (6)
288,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
289,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
290,25,25,0,3,4,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (4)
291,22,22,0,7,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
292,13,13,0,1,7,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (7)
293,16,16,0,5,6,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (6)
294,13,13,0,0,8,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (8)
295,1,1,0,0,1,True,Header calibration weak | Manufacturer pack leaks (1)
299,26,26,0,4,6,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (6)
300,11,11,0,2,7,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (7)
301,10,10,0,3,7,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (7)
302,21,21,0,0,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
303,23,23,0,5,4,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (4)
304,3,3,0,0,2,True,Header calibration weak | Manufacturer pack leaks (3)
307,10,10,0,0,7,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (7)
308,8,8,0,0,7,True,Header calibration weak | Manufacturer pack leaks (6) | Multiple generics (7)
309,9,9,0,0,5,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (5)
310,19,19,0,0,8,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (8)
311,11,11,0,0,8,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (8)
312,15,15,0,0,5,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (5)
313,20,20,0,16,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
314,21,21,0,7,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
315,13,13,0,0,3,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (3)
316,8,8,0,0,2,True,Header calibration weak | Manufacturer pack leaks (8)
319,7,7,0,1,6,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (6)
320,20,20,0,14,3,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (3)
321,22,22,0,19,2,True,Header calibration weak | Manufacturer pack leaks (22)
322,17,17,0,1,2,True,Header calibration weak | Manufacturer pack leaks (17)
323,29,29,0,0,2,True,Header calibration weak | Manufacturer pack leaks (29)
324,7,7,0,0,4,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (4)
325,30,30,0,11,2,True,Header calibration weak | Manufacturer pack leaks (30)
326,20,20,0,11,2,True,Header calibration weak | Manufacturer pack leaks (20)
327,15,15,0,8,2,True,Header calibration weak | Manufacturer pack leaks (15)
328,7,7,0,2,3,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (3)
329,21,21,0,17,5,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (5)
330,17,17,0,8,4,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (4)
333,25,25,0,4,5,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (5)
334,14,14,0,0,6,True,Header calibration weak | Manufacturer pack leaks (14) | Multiple generics (6)
335,4,4,0,0,4,True,Header calibration weak | Manufacturer pack leaks (4) | Multiple generics (4)
336,24,24,0,19,5,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (5)
337,15,15,0,0,7,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (7)
338,15,15,0,0,1,True,Header calibration weak | Manufacturer pack leaks (15)
339,29,29,0,21,2,True,Header calibration weak | Manufacturer pack leaks (29)
340,29,29,0,21,1,True,Header calibration weak | Manufacturer pack leaks (29)
341,29,29,0,21,1,True,Header calibration weak | Manufacturer pack leaks (29)
342,30,30,0,15,2,True,Header calibration weak | Manufacturer pack leaks (30)
343,19,19,0,8,3,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (3)
344,16,16,0,10,1,True,Header calibration weak | Manufacturer pack leaks (16)
345,16,16,0,10,1,True,Header calibration weak | Manufacturer pack leaks (16)
346,25,25,0,20,2,True,Header calibration weak | Manufacturer pack leaks (25)
347,25,25,0,21,1,True,Header calibration weak | Manufacturer pack leaks (25)
348,25,25,0,21,1,True,Header calibration weak | Manufacturer pack leaks (25)
349,24,24,0,18,1,True,Header calibration weak | Manufacturer pack leaks (24)
350,24,24,0,10,2,True,Header calibration weak | Manufacturer pack leaks (24)
351,26,26,0,16,1,True,Header calibration weak | Manufacturer pack leaks (26)
352,19,19,0,8,5,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (5)
353,19,19,0,0,5,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (5)
354,18,18,0,0,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
355,20,20,0,2,4,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (4)
356,23,23,0,16,2,True,Header calibration weak | Manufacturer pack leaks (23)
357,27,27,0,10,2,True,Header calibration weak | Manufacturer pack leaks (27)
358,36,36,0,3,2,True,Header calibration weak | Manufacturer pack leaks (36)
359,20,20,0,7,3,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (3)
360,19,19,0,19,2,True,Header calibration weak | Manufacturer pack leaks (19)
361,11,11,0,6,4,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (4)
362,19,19,0,3,6,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (6)
363,21,21,0,5,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
364,26,26,0,20,1,True,Header calibration weak | Manufacturer pack leaks (26)
365,28,28,0,19,2,True,Header calibration weak | Manufacturer pack leaks (28)
