FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
CAMPHOR & MENTHOL & PHENOL & WHITE PETROLATUM,,OCCLUBASE CREAM 100 GM,OCCLUBASE CREAM 100 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T21:12:11,PETROLATUM + LANOLIN + MINERAL OIL + DIMETHICONE CREAM / OCCLUBASE,PALSONS DERMA PVT. LTD,3.10,Dec-2025,310.00/100 GM CREAM,,,,,,
CAMPHOR & MENTHOL & PHENOL & WHITE PETROLATUM,,OCCLUBASE CREAM 200 GM,OCCLUBASE CREAM 200 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T21:12:13,PETROLATUM + LANOLIN + MINERAL OIL + DIMETHICONE CREAM / OCCLUBASE,PALSONS DERMA PVT. LTD,2.40,Dec-2025,480.00/200 GM CREAM,,,,,,
CAMPHOR & MENTHOL & PHENOL & WHITE PETROLATUM,,OCCLUBASE LOTION 100 ML,OCCLUBASE LOTION 100 ML,Non-Scheduled,Not Applicable,LOTION,2026-01-25T21:12:15,PETROLATUM + LANOLIN + MINERAL OIL + DIMETHICONE LOTION / OCCLUBASE,PALSONS DERMA PVT. LTD,2.75,Dec-2025,275.42/100 ML LOTION,,,,,,
