input_company,input_product_name,timestamp,records_found
ISA,+50,2026-01-12T12:13:34,1
Laboratorio ENA,100% WHEY PROTEIN,2026-01-12T12:13:35,3
Laboratorio Millet,102 FOCUS,2026-01-12T12:13:35,1
Laboratorio Millet,102 MAGNESIO,2026-01-12T12:13:36,1
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-12T12:13:46,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-12T12:13:47,1
Laboratorio Millet,102 PLUS,2026-01-12T12:13:47,3
Laboratorio Millet,102 MUJER,2026-01-12T12:13:47,1
GlaxoSmithKline Biopharma,3 TC,2026-01-12T12:13:57,2
Laboratorio Millet,102 VITAMINA C,2026-01-12T12:13:58,2
Laboratorio Millet,102 SPORT BCAA,2026-01-12T12:13:58,1
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-12T12:13:58,1
