page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
86,24,24,0,19,5,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (5)
87,15,15,0,0,7,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (7)
88,15,15,0,0,1,True,Header calibration weak | Manufacturer pack leaks (15)
89,29,29,0,21,2,True,Header calibration weak | Manufacturer pack leaks (29)
90,29,29,0,21,1,True,Header calibration weak | Manufacturer pack leaks (29)
91,29,29,0,21,1,True,Header calibration weak | Manufacturer pack leaks (29)
92,30,30,0,15,2,True,Header calibration weak | Manufacturer pack leaks (30)
93,19,19,0,8,3,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (3)
94,16,16,0,10,1,True,Header calibration weak | Manufacturer pack leaks (16)
95,16,16,0,10,1,True,Header calibration weak | Manufacturer pack leaks (16)
96,25,25,0,20,2,True,Header calibration weak | Manufacturer pack leaks (25)
97,25,25,0,21,1,True,Header calibration weak | Manufacturer pack leaks (25)
98,25,25,0,21,1,True,Header calibration weak | Manufacturer pack leaks (25)
99,24,24,0,18,1,True,Header calibration weak | Manufacturer pack leaks (24)
100,24,24,0,10,2,True,Header calibration weak | Manufacturer pack leaks (24)
101,26,26,0,16,1,True,Header calibration weak | Manufacturer pack leaks (26)
102,19,19,0,8,5,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (5)
103,19,19,0,0,5,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (5)
104,18,18,0,0,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
105,20,20,0,2,4,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (4)
106,23,23,0,16,2,True,Header calibration weak | Manufacturer pack leaks (23)
107,27,27,0,10,2,True,Header calibration weak | Manufacturer pack leaks (27)
108,36,36,0,3,2,True,Header calibration weak | Manufacturer pack leaks (36)
109,20,20,0,7,3,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (3)
110,19,19,0,19,2,True,Header calibration weak | Manufacturer pack leaks (19)
111,11,11,0,6,4,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (4)
112,19,19,0,3,6,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (6)
113,21,21,0,5,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
114,26,26,0,20,1,True,Header calibration weak | Manufacturer pack leaks (26)
115,28,28,0,19,2,True,Header calibration weak | Manufacturer pack leaks (28)
116,23,23,0,0,2,True,Header calibration weak | Manufacturer pack leaks (23)
117,19,19,0,4,3,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (3)
118,31,31,0,2,2,True,Header calibration weak | Manufacturer pack leaks (31)
119,36,36,0,8,1,True,Header calibration weak | Manufacturer pack leaks (36)
120,22,22,0,0,2,True,Header calibration weak | Manufacturer pack leaks (22)
121,14,14,0,1,4,True,Header calibration weak | Manufacturer pack leaks (14) | Multiple generics (4)
122,29,29,0,2,4,True,Header calibration weak | Manufacturer pack leaks (29) | Multiple generics (4)
123,27,27,0,6,3,True,Header calibration weak | Manufacturer pack leaks (27) | Multiple generics (3)
124,25,25,0,12,2,True,Header calibration weak | Manufacturer pack leaks (25)
125,24,24,0,10,5,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (5)
126,19,19,0,12,2,True,Header calibration weak | Manufacturer pack leaks (19)
127,19,19,0,12,1,True,Header calibration weak | Manufacturer pack leaks (19)
128,27,27,0,14,2,True,Header calibration weak | Manufacturer pack leaks (27)
129,20,20,0,5,3,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (3)
130,14,14,0,8,2,True,Header calibration weak | Manufacturer pack leaks (14)
131,16,16,0,13,1,True,Header calibration weak | Manufacturer pack leaks (16)
